timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668543.455,15.137,405.762,-56.641,13.184,-80.078,26704.373
1652668543.459,-64.453,-28.809,-39.062,-46.875,-23.438,26704.377
1652668543.463,-80.078,-405.762,-25.879,-45.410,9.277,26704.381
1652668543.466,3.906,-51.270,-22.949,14.648,-101.074,26704.384
1652668543.470,50.781,379.883,-37.109,35.156,-140.137,26704.388
1652668543.474,-52.246,49.805,-60.059,-48.828,-102.051,26704.392
1652668543.478,-102.051,-593.750,-58.105,-73.730,-17.578,26704.396
1652668543.482,-37.598,-124.023,-53.711,-21.973,-105.957,26704.400
1652668543.500,31.738,404.785,-67.383,15.137,-132.324,26704.405
1652668543.504,-6.836,-54.199,-58.105,-5.859,-22.461,26704.409
1652668543.508,-104.980,-229.492,-62.012,-70.801,-47.363,26704.413
1652668543.512,-100.098,185.547,-77.148,-72.754,-145.020,26704.417
1652668543.516,-5.859,367.188,-50.293,-3.418,-122.559,26704.421
1652668543.520,1.465,-310.059,-34.668,-0.488,135.254,26704.425
1652668543.524,-81.055,-796.387,-46.387,-53.711,212.891,26704.429
1652668543.527,-97.168,-266.602,-39.551,-62.012,-9.277,26704.432
1652668543.531,-20.508,36.133,-38.574,-17.578,-75.684,26704.436
1652668543.535,17.090,-424.316,-35.645,8.301,71.777,26704.440
1652668543.539,-66.406,-662.598,-40.039,-47.852,146.484,26704.444
1652668543.543,-111.816,149.414,-60.059,-79.102,-113.770,26704.448
1652668543.544,-30.762,239.746,-53.223,-17.090,-168.945,26704.449
1652668543.548,29.297,84.473,-44.434,16.113,-66.895,26704.453
1652668543.552,-37.109,209.961,-41.992,-34.180,-104.004,26704.457
1652668543.556,-100.586,240.723,-61.035,-70.801,-211.426,26704.461
1652668543.560,-46.875,2.441,-57.129,-29.297,-168.457,26704.465
1652668543.564,22.461,-241.699,-46.387,19.043,22.949,26704.469
1652668543.568,-20.996,-229.492,-50.781,-16.602,65.430,26704.473
1652668543.571,-74.219,-7.812,-45.898,-56.152,-60.059,26704.476
1652668543.575,-39.062,1.953,-44.434,-22.461,-103.516,26704.480
1652668543.579,16.602,-770.996,-50.293,17.578,190.918,26704.484
1652668543.583,-5.371,-373.535,-48.828,-16.113,165.527,26704.488
1652668543.587,-93.750,285.645,-50.293,-80.078,-132.812,26704.492
1652668543.589,-105.957,-137.695,-75.684,-83.496,-103.516,26704.495
1652668543.593,-3.418,-56.641,-44.922,-5.859,-71.777,26704.499
1652668543.597,50.781,299.316,-0.977,28.320,-68.848,26704.502
1652668543.601,-63.477,322.754,-41.504,-60.547,-82.031,26704.506
1652668543.605,-128.906,-38.574,-62.988,-97.656,-98.145,26704.510
1652668543.609,-56.641,-270.020,-62.988,-45.898,-18.555,26704.514
1652668543.613,7.324,-163.574,-66.895,-6.836,16.113,26704.518
1652668543.616,-34.180,-175.293,-43.945,-33.691,-82.031,26704.522
1652668543.620,-93.262,-526.855,-43.457,-65.918,77.148,26704.526
1652668543.624,-59.570,-1000.000,-51.270,-21.484,393.555,26704.530
1652668543.628,28.320,-514.160,-41.504,30.273,183.594,26704.534
1652668543.632,-3.906,233.398,-39.062,-18.555,-100.586,26704.538
1652668543.634,-89.844,43.945,-33.691,-72.754,-114.746,26704.539
1652668543.638,-77.148,186.523,-41.016,-56.641,-113.770,26704.543
1652668543.642,-2.930,421.875,-59.570,-13.184,-102.539,26704.547
1652668543.646,11.230,287.598,-51.270,-6.836,-79.590,26704.551
1652668543.650,-81.055,-76.660,-56.152,-66.406,-143.066,26704.555
1652668543.654,-104.004,-189.453,-72.266,-70.801,-167.480,26704.559
1652668543.658,-15.137,-52.246,-75.195,-6.348,-58.105,26704.563
1652668543.661,26.367,-35.156,-71.289,17.090,28.809,26704.567
1652668543.665,-51.270,-598.633,-62.988,-41.016,136.719,26704.571
1652668543.669,-91.309,-303.711,-43.945,-62.988,18.066,26704.574
1652668543.673,-41.504,262.207,-34.668,-11.719,-64.453,26704.578
1652668543.677,16.602,-145.020,-38.574,25.391,122.070,26704.582
1652668543.679,-9.766,-201.660,-34.180,-5.859,121.094,26704.584
1652668543.683,-89.844,282.227,-56.152,-62.500,-59.082,26704.588
1652668543.687,-74.707,330.078,-62.500,-48.828,-92.773,26704.592
1652668543.691,15.625,72.266,-53.223,7.812,-8.301,26704.596
1652668543.695,3.418,138.672,-58.105,-10.254,32.715,26704.600
1652668543.699,-85.938,67.871,-57.617,-63.477,18.555,26704.604
1652668543.703,-96.680,-101.562,-56.152,-63.477,-27.344,26704.608
1652668543.706,-21.484,-408.203,-49.316,-16.113,176.270,26704.611
1652668543.710,4.395,-1000.000,-46.875,-0.977,468.750,26704.615
1652668543.714,-59.570,-427.246,-34.180,-49.805,170.898,26704.619
1652668543.718,-71.289,270.508,-25.391,-47.852,-133.789,26704.623
1652668543.722,7.324,102.539,-40.039,12.695,-73.730,26704.627
1652668543.725,38.574,297.852,-51.270,12.207,-36.621,26704.631
1652668543.729,-36.621,278.320,-43.457,-51.758,-53.711,26704.635
1652668543.733,-79.590,-84.473,-42.969,-68.359,-92.773,26704.639
1652668543.737,-37.598,-194.824,-55.664,-35.645,-41.504,26704.643
1652668543.741,42.480,118.164,-57.129,16.113,-9.766,26704.647
1652668543.745,3.418,88.379,-58.105,-12.695,-48.340,26704.651
1652668543.749,-67.383,-237.793,-44.922,-59.570,-31.738,26704.654
1652668543.752,-39.551,-660.645,-36.621,-25.391,125.000,26704.658
1652668543.756,25.879,-235.352,-43.457,17.578,91.797,26704.662
